Sample,Original_Reads,3'-tRF_reads,5'-tRF_reads,Mt-3'-tRF_reads,Mt-5'-tRF_reads,Mt-internal-tRF_reads,Mt_rRNA_reads,internal-tRF_reads,lncRNA_reads,miRNA_reads,miRNA_hairpin_reads,misc_RNA_reads,piRNA_reads,protein_coding_reads,rRNA_reads,ribozyme_reads,sRNA_reads,snRNA_reads,snoRNA_reads,vault_RNA_reads,unmapped_reads
SRR1103937,10577564,122801.68055555556,1109013.934744057,1937809.142857143,85767.5,80571.16666666667,455914.16000000003,169739.5751765778,16700.87,3697674.15,591.81,312402.58,95950.79,103111.38,1786479.58,8078.24,98,85718.81,438014.56,1156.25,69969.8200000003
SRR1103938,4055209,28529,241999.60537707905,306279.5,39816,22524.5,134308.25,58659.39462292094,6198.92,2145014.37,379.17,81117.36,30990.25,32474.57,655594.66,3242.5,25.5,28810.87,215491.44,493,23260.139999999665
SRR1103939,7545982,45796.5,302223.879978355,1310500.5,73415.5,53070,331393.5,72416.62002164502,8874.31,3752158.62,502.68,163127.35,40516.21,36944.11,1007168.4800000001,3177.5,36,39677.24,270288.86,842.5,33851.639999999665
SRR1103940,5045724,30297,370082.946994672,550469.4102564103,53296,25202,144542.33,58963.64274891775,7649.6500000000005,2681728.51,382.78,97708.74,36186.69,42410.89,681447.87,2860.5,39.5,31814.7,203128.99,751,26760.85000000056
SRR1103941,4324490,28313,169153.45851370852,446569,50450,23446,91731,47056.541486291484,5544.36,2484034.7,440.29,88700.24,26452.09,21637.69,600945.52,2578.5,20,29590.73,187098.38,199,20529.5
SRR1103942,4556053,19887,213266.6803030303,442425.2,47630,20013,100689.58,51073.1196969697,6197.69,2707527.36,447.06,63813.51,28672.52,32066.829999999998,599725.7799999999,2039.5,29.5,28333.3,170530.23,579.95,21105.19000000041
SRR1103943,15411186,126139.46666666667,735715.1058441559,320633.0833333333,256911,70412,250284.83,251746.34415584416,20927.09,10661837.58,2348.73,286416.97000000003,101530.35,96503.39,1486673.4,6242.55,146,100506.47,560287.89,2691.5,73232.25
SRR1103944,12767947,129969.8,1728947.9934704183,247223,155615,43733.2,143308.66,185650.00652958153,14188.25,8251599.86,1637.29,322723.89,82374.54,68514.17,853094.33,5492.3,128,81467.6,402084.02,2361.16,47833.9299999997
SRR1103945,11270790,124377.88333333333,1530480.2018398268,109376.5,147938.5,44894.5,51972.42,176852.4148268398,9493.45,7902254.39,1216.77,268827.2,68025.56999999999,44136.81,511518.24000000005,2417,193,31346.75,208411.53,2303,34753.87000000104
SRR1103946,18267395,177210.3849206349,2635092.578715728,125570.5,219232,54496.5,54747.75,301068.0363636364,18433.46,12905382.38,2355.6,431617.3,91547.73999999999,85637.22,619386.57,5127,174,45058.31,434540.72,5676.92,55040.03000000119
SRR1103947,12503088,82027,2500453.2181096687,54629,148132,28878,31326.58,167241.78189033188,10682.32,8441038.1,1541.54,230311.62,56466.85,53344.79,399955.12,2020.5,148.5,19292.94,236664.26,3413.91,35519.97000000067
SRR1103948,12918006,105422.21666666666,1515199.4835137085,60111.5,174507,37484,33610.229999999996,162381.7998196248,10318.75,9722947.42,1501.97,236734.14,58771.87,53497.99,408210.45,2015.5,95,19173.52,278990.39,2782.91,34249.859999999404
